epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,38.2802,0.80329,0.47845,1,0.75195,8.335e-05,8.335e-05,8.335e-05
2,68.8706,0.75338,0.51868,1,0.70459,0.000181367,0.000181367,0.000181367
3,88.9464,0.72844,0.61351,1,0.65674,0.000271141,0.000271141,0.000271141
4,90.6346,0.71985,0.67672,1,0.60693,0.000346801,0.000346801,0.000346801
5,110.546,0.69074,0.6796,1,0.59326,0.000403462,0.000403462,0.000403462
6,147.01,0.6603,0.70115,1,0.56445,0.000437602,0.000437602,0.000437602
7,165.379,0.64194,0.76006,1,0.51074,0.000447361,0.000447361,0.000447361
8,183.611,0.602,0.74425,1,0.50293,0.000432729,0.000432729,0.000432729
9,185.285,0.57958,0.78305,1,0.44312,0.000395628,0.000395628,0.000395628
10,205.577,0.55206,0.78736,1,0.42603,0.000339866,0.000339866,0.000339866
11,224.018,0.54128,0.79741,1,0.4165,0.000270969,0.000270969,0.000270969
12,240.883,0.51472,0.81034,1,0.39966,0.000195902,0.000195902,0.000195902
13,242.593,0.50304,0.81753,1,0.37939,0.000122688,0.000122688,0.000122688
14,261.748,0.50746,0.82471,1,0.37842,5.99421e-05,5.99421e-05,5.99421e-05
15,277.803,0.4898,0.82184,1,0.3811,1.63572e-05,1.63572e-05,1.63572e-05
